Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder*,82,19705,37.9,86.8,0.436,13.4,39.3,0.342,24.4,47.6,0.513,18.3,23.7,0.774,11.6,33.2,44.8,24.6,6.7,4.8,17,18.1,107.5
2,Orlando Magic*,82,19730,39.6,84.6,0.468,11.9,32.5,0.365,27.7,52,0.532,18.6,24.3,0.766,9.5,34.2,43.7,23.7,8,4.6,16.8,21.1,109.6
3,Los Angeles Clippers*,82,19805,40.3,87.4,0.461,13.2,37.8,0.35,27,49.6,0.545,16.5,21.4,0.772,9.9,32.4,42.3,26.2,9,4.4,15.3,18.1,110.3
4,Houston Rockets*,82,19780,40.9,89.1,0.459,12.4,34.9,0.357,28.4,54.3,0.524,16.6,21.9,0.759,10.7,31.9,42.5,23.7,8,5.7,14.5,19.4,110.8
5,Boston Celtics*,82,19830,41.8,92.7,0.45,13.3,38.5,0.347,28.4,54.2,0.524,14.3,18.3,0.777,11.1,34.2,45.3,24.9,7.2,3.7,13.3,18.2,111.1
6,Minnesota Timberwolves*,82,19830,41.3,89.7,0.46,12.9,36.7,0.353,28.3,53,0.534,16,20.8,0.767,11.3,32.5,43.7,25.3,8.5,4.6,15,19.5,111.5
7,Golden State Warriors*,82,19730,40.9,87.8,0.465,13.3,36.7,0.363,27.6,51.2,0.539,16.6,21.6,0.769,10.7,33.8,44.5,26.1,7.7,5.4,15.9,18.8,111.7
8,Cleveland Cavaliers*,82,19755,41.2,90.7,0.454,13.4,37.4,0.359,27.7,53.3,0.52,16.4,21.1,0.779,11.5,31.9,43.5,25.6,7.8,4.4,14.5,18.9,112.2
9,Miami Heat*,82,19930,42.3,90.9,0.466,14,38.9,0.36,28.3,52,0.545,14.3,18.4,0.776,11,34.8,45.8,27.2,7.7,4.8,14.2,17.4,112.9
10,Memphis Grizzlies*,82,19705,40.5,88.8,0.456,13.7,38.1,0.36,26.8,50.7,0.529,18.3,23.7,0.77,11.1,31,42.1,26.2,8.4,5.3,14.6,19.5,113
11,Detroit Pistons*,82,19805,40.4,87.5,0.461,13.6,37.1,0.366,26.8,50.5,0.531,18.7,24.1,0.776,10.5,31.8,42.3,24.7,8.8,5,15,18.8,113.1
12,Milwaukee Bucks*,82,19755,41.8,91.4,0.457,14,39.6,0.353,27.8,51.9,0.536,15.9,20.3,0.783,11,34.4,45.4,26.5,7.4,3.9,12.9,19,113.4
13,Indiana Pacers*,82,19855,42.3,89.2,0.474,12.8,36,0.355,29.5,53.2,0.554,16.9,21.9,0.773,11.1,33.6,44.7,25.8,7.1,4.4,14.9,18.7,114.3
14,New York Knicks*,82,19880,42.6,89.8,0.474,13.4,36.5,0.367,29.2,53.3,0.548,15.8,20,0.789,11.1,31.7,42.8,25.8,7.2,5.1,14.8,19.4,114.3
15,Los Angeles Lakers*,82,19730,42.3,91.2,0.463,13.9,38.9,0.356,28.4,52.3,0.544,16.2,20.9,0.775,11.5,32.5,44,27.9,8.4,4.3,14,19.6,114.7
16,Portland Trail Blazers,82,19780,41.9,88.9,0.471,12.8,35.4,0.361,29.1,53.5,0.544,18.1,22.7,0.799,12,32.6,44.6,26.4,9.6,5.6,15.6,19.4,114.7
17,Toronto Raptors,82,19805,41,88,0.466,13.1,37.6,0.349,27.9,50.4,0.554,19.6,25.2,0.778,11.4,33.4,44.8,25.8,9.1,5.9,15,18,114.8
18,Chicago Bulls,82,19755,43,92,0.467,13.2,38.4,0.344,29.8,53.6,0.556,16.4,20.8,0.786,10.6,34,44.6,28,7.8,4.9,12.2,16.2,115.6
19,Atlanta Hawks,82,19780,42.1,87.5,0.481,13.8,36.6,0.377,28.3,50.8,0.557,17.6,22,0.802,10,32.3,42.3,27.4,8.9,4.8,15.5,18.5,115.7
20,Brooklyn Nets,82,19780,41.7,86.9,0.48,13.3,36.8,0.362,28.4,50.1,0.567,19,24.4,0.779,10.4,34.7,45.1,27.9,8.3,5.8,15.5,19.5,115.8
21,Denver Nuggets*,82,19855,43,92.4,0.466,14,38.4,0.365,29,54,0.538,16,20.6,0.777,11.7,30.5,42.2,28.8,8.7,5.1,12.9,18.9,116
22,Dallas Mavericks,82,19730,43.3,92.2,0.469,12.9,35.6,0.363,30.4,56.6,0.536,16.5,21.2,0.779,12.2,33.3,45.5,27.2,8.1,4.6,13.3,18.8,116
23,Sacramento Kings,82,19880,41.9,88.5,0.474,14.7,38.5,0.381,27.3,50,0.545,17.7,22.6,0.783,10.1,32.6,42.7,27.2,8,4.3,14,18.6,116.2
24,Charlotte Hornets,82,19755,42.4,90.8,0.467,14.5,40.8,0.355,28,50,0.559,17.2,21.8,0.79,11.5,34.6,46.2,27.3,8.9,5.4,13.6,18.5,116.6
25,San Antonio Spurs,82,19730,44,92.9,0.474,14.4,39.5,0.365,29.6,53.4,0.554,14.7,18.6,0.79,12.1,34.2,46.4,28.1,8.1,4.4,13.7,17.5,117.2
26,Philadelphia 76ers,82,19805,43.3,88.6,0.488,14.5,38.4,0.378,28.7,50.2,0.572,17.2,21.7,0.794,11.8,34.7,46.5,28.8,7.6,5.2,16.3,19,118.2
27,Washington Wizards,82,19730,43.2,91.8,0.471,14.1,38.7,0.364,29.1,53,0.549,18.6,23.4,0.793,12.8,35.6,48.3,28.1,9,5.2,13.2,18,119.1
28,Phoenix Suns,82,19830,43.6,92.1,0.473,14.5,39.2,0.37,29.1,52.9,0.549,17.6,22.3,0.79,11.8,33.4,45.2,27.9,8.7,4.1,12.5,18.8,119.3
29,New Orleans Pelicans,82,19755,43.9,91,0.483,14.7,40.3,0.365,29.3,50.6,0.578,17.3,22,0.786,11.9,34.1,46,28.8,9.1,5.2,14.1,18,119.9
30,Utah Jazz,82,19805,44.3,92.3,0.48,14.8,41.2,0.358,29.5,51.1,0.577,17.1,22.4,0.763,11.6,32.3,43.9,29.4,9.7,6.4,11.7,19.1,120.4
